
2024/11/27 (12:59:06) | ===> btop++ v.1.4.0
2024/11/27 (12:59:06) | INFO: Logger set to INFO
2024/11/27 (12:59:10) | INFO: Logger set to INFO
2024/11/27 (12:59:11) | INFO: Logger set to DEBUG
2024/11/27 (12:59:12) | INFO: Logger set to INFO
2024/11/27 (12:59:36) | INFO: Quitting! Runtime: 00:03:54

2024/11/27 (12:59:36) | ===> btop++ v.1.4.0
2024/11/27 (12:59:36) | INFO: Logger set to INFO
2024/11/27 (12:59:36) | INFO: Running on /dev/ttys005
2024/11/27 (12:59:50) | INFO: Quitting! Runtime: 00:00:14

2024/11/27 (12:59:51) | ===> btop++ v.1.4.0
2024/11/27 (12:59:51) | INFO: Logger set to INFO
2024/11/27 (12:59:51) | INFO: Running on /dev/ttys005
2024/11/27 (13:04:06) | INFO: Quitting! Runtime: 00:04:15

2024/11/28 (10:57:48) | ===> btop++ v.1.4.0
2024/11/28 (10:57:48) | INFO: Logger set to INFO
2024/11/28 (10:57:48) | INFO: Running on /dev/ttys011
2024/11/28 (10:59:16) | INFO: Quitting! Runtime: 00:01:28

2024/11/28 (10:59:23) | ===> btop++ v.1.4.0
2024/11/28 (10:59:23) | INFO: Logger set to INFO
2024/11/28 (10:59:23) | INFO: Running on /dev/ttys011
2024/11/28 (11:07:34) | INFO: Quitting! Runtime: 00:08:11
